id;regime;year;lat;lon;TOTAL_SOIL_c;NBP_pool_c;NPP;HARVEST_FOREST_c;TOTAL_BM_LITTER_c;AREA
52.5_23.5;BAUpRESIDUAL;2050;52.5;23.5;4952.60009765625;2.0224556251946524e-08;10.964953422546387;7280989696.0;0.09486787021160126;1
52.5_23.5;BAUpN;2050;52.5;23.5;4999.6728515625;1.062820498276551e-09;11.052942276000977;13963019264.0;0.18305253982543945;1
52.5_24.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_24.5;BAU;2050;52.5;24.5;5491.0595703125;1.1114209108598061e-08;10.484326362609863;9572269056.0;0.09906657040119171;1
52.5_24.5;BAUnDIACUT;2050;52.5;24.5;5465.94287109375;-1.4220459476632641e-08;10.10399055480957;18138648576.0;0.11106749624013901;1
52.5_24.5;BAUpDIACUT;2050;52.5;24.5;5504.1240234375;2.216697048140759e-08;10.54433536529541;6458510336.0;0.09080711007118225;1
52.5_24.5;BAUpTHININT;2050;52.5;24.5;5470.34228515625;-1.7387453254968932e-08;10.422159194946289;28149751808.0;0.2387915849685669;1
52.5_24.5;BAUnTHININT;2050;52.5;24.5;5472.91796875;2.7798160218139856e-08;10.478055953979492;3167266048.0;0.023426122963428497;1
52.5_24.5;BAUppRESIDUAL;2050;52.5;24.5;5501.46435546875;-3.9917058103355885e-08;10.28680419921875;34078988288.0;0.24038589000701904;1
52.5_24.5;BAUpRESIDUAL;2050;52.5;24.5;5450.14599609375;1.2933860205066594e-08;10.237340927124023;9804604416.0;0.09451824426651001;1
52.5_24.5;BAUpN;2050;52.5;24.5;5469.798828125;1.2508942326405759e-08;10.326212882995605;9467871232.0;0.09678224474191666;1
52.5_25.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_25.5;BAU;2050;52.5;25.5;5250.12548828125;3.8213318731550316e-08;9.448201179504395;0.0;0.008110372349619865;1
52.5_25.5;BAUnDIACUT;2050;52.5;25.5;5238.8974609375;2.067094939661729e-08;9.198775291442871;9184658432.0;0.04660068452358246;1
52.5_25.5;BAUpDIACUT;2050;52.5;25.5;5219.28662109375;4.168676071003574e-08;9.200651168823242;137412432.0;0.04471452906727791;1
52.5_25.5;BAUpTHININT;2050;52.5;25.5;5269.83642578125;1.340109978542614e-08;9.276715278625488;13510818816.0;0.060319602489471436;1
52.5_25.5;BAUnTHININT;2050;52.5;25.5;5279.8798828125;3.19242161594957e-08;9.467693328857422;3666042624.0;0.036004237830638885;1
52.5_25.5;BAUppRESIDUAL;2050;52.5;25.5;5241.86962890625;-1.64542797165268e-08;8.98979663848877;24338700288.0;0.12258410453796387;1
