id;regime;year;TOTAL_SOIL_c;NBP_pool_c;NPP;AREA
66.5_29.5;initial_state;2020;0.0;0.0;0.0;1
66.5_29.5;BAU;2050;5549.51513671875;1.1823853007797425e-10;5.31488037109375;1
66.5_29.5;BAUnDIACUT;2050;5561.037109375;1.4832506778361676e-08;5.423750877380371;1
66.5_29.5;BAUpDIACUT;2050;5475.30859375;-6.997286750021203e-09;5.391125202178955;1
66.5_29.5;BAUpTHININT;2050;5514.28271484375;1.5009867126991594e-08;5.387999057769775;1
66.5_29.5;BAUnTHININT;2050;5573.2802734375;-1.9877375301291522e-09;5.49982213973999;1
66.5_29.5;BAUppRESIDUAL;2050;5552.416015625;2.0386887733536696e-09;5.39211893081665;1
66.5_29.5;BAUpRESIDUAL;2050;5542.54541015625;3.1541147471614295e-10;5.318587303161621;1
66.5_29.5;BAUpN;2050;5549.19287109375;9.6600150101267e-10;5.309788703918457;1
66.5_30.5;initial_state;2020;0.0;0.0;0.0;1
66.5_30.5;BAU;2050;5137.1826171875;4.165191747063091e-09;3.519479751586914;1
66.5_30.5;BAUnDIACUT;2050;5142.7333984375;4.0413992152821265e-09;3.4616408348083496;1
66.5_30.5;BAUpDIACUT;2050;5144.7568359375;3.609628151934885e-09;3.413092613220215;1
66.5_30.5;BAUpTHININT;2050;5136.8583984375;2.5975898765295824e-08;3.4414453506469727;1
66.5_30.5;BAUnTHININT;2050;5148.1904296875;1.0626839852534431e-08;3.53498911857605;1
66.5_30.5;BAUppRESIDUAL;2050;5140.36669921875;4.064713010620835e-09;3.435312032699585;1
